EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-09-2010
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://eca.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ISRAEL, JERUSALEM CENTRAL (STAID: 132).
Blended and updated with sources: 100477 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100477,19491201,-9999,    9
100477,19491202,-9999,    9
100477,19491203,-9999,    9
100477,19491204,-9999,    9
100477,19491205,-9999,    9
100477,19491206,-9999,    9
100477,19491207,-9999,    9
100477,19491208,-9999,    9
100477,19491209,-9999,    9
100477,19491210,-9999,    9
100477,19491211,-9999,    9
100477,19491212,-9999,    9
100477,19491213,-9999,    9
100477,19491214,-9999,    9
100477,19491215,-9999,    9
100477,19491216,-9999,    9
100477,19491217,-9999,    9
100477,19491218,-9999,    9
100477,19491219,-9999,    9
100477,19491220,-9999,    9
100477,19491221,-9999,    9
100477,19491222,-9999,    9
100477,19491223,-9999,    9
100477,19491224,-9999,    9
100477,19491225,-9999,    9
100477,19491226,-9999,    9
100477,19491227,-9999,    9
100477,19491228,-9999,    9
100477,19491229,-9999,    9
100477,19491230,-9999,    9
100477,19491231,    0,    0
100477,19500101,    0,    0
100477,19500102,    0,    0
100477,19500103,  179,    0
100477,19500104,    0,    0
100477,19500105,    0,    0
100477,19500106,   15,    0
100477,19500107,  113,    0
100477,19500108,   39,    0
100477,19500109,   54,    0
100477,19500110,   58,    0
100477,19500111,  203,    0
100477,19500112,   16,    0
100477,19500113,  122,    0
100477,19500114,  129,    0
100477,19500115,    0,    0
100477,19500116,    0,    0
100477,19500117,    0,    0
100477,19500118,    2,    0
100477,19500119,  103,    0
100477,19500120,  225,    0
100477,19500121,   47,    0
100477,19500122,    0,    0
100477,19500123,   33,    0
100477,19500124,   17,    0
100477,19500125,    0,    0
100477,19500126,    0,    0
100477,19500127,    0,    0
100477,19500128,    0,    0
100477,19500129,    0,    0
100477,19500130,  258,    0
100477,19500131,   17,    0
100477,19500201,  175,    0
100477,19500202,   97,    0
100477,19500203,  331,    0
100477,19500204,   47,    0
100477,19500205,    0,    0
100477,19500206,    0,    0
100477,19500207,   18,    0
100477,19500208,    0,    0
100477,19500209,    3,    0
100477,19500210,    5,    0
100477,19500211,    0,    0
100477,19500212,    0,    0
100477,19500213,    0,    0
100477,19500214,    0,    0
100477,19500215,    0,    0
100477,19500216,    0,    0
100477,19500217,    0,    0
100477,19500218,   28,    0
100477,19500219,  102,    0
100477,19500220,   39,    0
100477,19500221,    0,    0
100477,19500222,    0,    0
100477,19500223,    0,    0
100477,19500224,    1,    0
100477,19500225,    0,    0
100477,19500226,    0,    0
100477,19500227,    0,    0
100477,19500228,    0,    0
100477,19500301,   34,    0
100477,19500302,   36,    0
100477,19500303,   38,    0
100477,19500304,   58,    0
100477,19500305,   85,    0
100477,19500306,   14,    0
100477,19500307,    4,    0
100477,19500308,   26,    0
100477,19500309,    4,    0
100477,19500310,    0,    0
100477,19500311,    0,    0
100477,19500312,    0,    0
100477,19500313,    0,    0
100477,19500314,    0,    0
100477,19500315,    0,    0
100477,19500316,    0,    0
100477,19500317,    0,    0
100477,19500318,    0,    0
100477,19500319,    0,    0
100477,19500320,    0,    0
100477,19500321,    0,    0
100477,19500322,   19,    0
100477,19500323,   10,    0
100477,19500324,    0,    0
100477,19500325,    0,    0
100477,19500326,  194,    0
100477,19500327,    5,    0
100477,19500328,    0,    0
100477,19500329,    0,    0
100477,19500330,    0,    0
100477,19500331,    0,    0
100477,19500401,    0,    0
100477,19500402,    0,    0
100477,19500403,    0,    0
100477,19500404,    0,    0
100477,19500405,    0,    0
100477,19500406,    0,    0
100477,19500407,    0,    0
100477,19500408,    0,    0
100477,19500409,  146,    0
100477,19500410,    0,    0
100477,19500411,    0,    0
100477,19500412,    0,    0
100477,19500413,    0,    0
100477,19500414,    0,    0
100477,19500415,    0,    0
100477,19500416,    0,    0
100477,19500417,    0,    0
100477,19500418,    0,    0
100477,19500419,    0,    0
100477,19500420,    0,    0
100477,19500421,    0,    0
100477,19500422,    0,    0
100477,19500423,    0,    0
100477,19500424,    0,    0
100477,19500425,    0,    0
100477,19500426,    0,    0
100477,19500427,    0,    0
100477,19500428,    0,    0
100477,19500429,    0,    0
100477,19500430,    0,    0
100477,19500501,    0,    0
100477,19500502,    3,    0
100477,19500503,    6,    0
100477,19500504,    9,    0
100477,19500505,    3,    0
100477,19500506,    0,    0
100477,19500507,    0,    0
100477,19500508,   49,    0
100477,19500509,    6,    0
100477,19500510,   43,    0
100477,19500511,    0,    0
100477,19500512,    0,    0
100477,19500513,    0,    0
100477,19500514,    0,    0
100477,19500515,    0,    0
100477,19500516,    0,    0
100477,19500517,    0,    0
100477,19500518,    0,    0
100477,19500519,    0,    0
100477,19500520,    0,    0
100477,19500521,    0,    0
100477,19500522,    0,    0
100477,19500523,    0,    0
100477,19500524,    0,    0
100477,19500525,    0,    0
100477,19500526,    0,    0
100477,19500527,    0,    0
100477,19500528,    0,    0
100477,19500529,    0,    0
100477,19500530,    0,    0
100477,19500531,    0,    0
100477,19500601,    0,    0
100477,19500602,    0,    0
100477,19500603,    0,    0
100477,19500604,    0,    0
100477,19500605,    0,    0
100477,19500606,    0,    0
100477,19500607,    0,    0
100477,19500608,    0,    0
100477,19500609,    0,    0
100477,19500610,    0,    0
100477,19500611,    0,    0
100477,19500612,    0,    0
100477,19500613,    0,    0
100477,19500614,    0,    0
100477,19500615,    0,    0
100477,19500616,    0,    0
100477,19500617,    0,    0
100477,19500618,    0,    0
100477,19500619,    0,    0
100477,19500620,    0,    0
100477,19500621,    0,    0
100477,19500622,    0,    0
100477,19500623,    0,    0
100477,19500624,    0,    0
100477,19500625,    0,    0
100477,19500626,    0,    0
100477,19500627,    0,    0
100477,19500628,    0,    0
